,scaler,fs_model,fs_m,pca_n,tot_n_features,max_depth,n_estimators,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
36,no_scaling,LinearSVC,4000,0,4000,10,50,0.9281698429289557,0.4759579400272173,0.9930369809318984,0.6889026274730545
37,no_scaling,LinearSVC,4000,0,4000,10,100,0.9337308787463492,0.45651022151064785,0.9992148828607933,0.6725631695383948
38,no_scaling,LinearSVC,4000,0,4000,10,500,0.944285858870361,0.4863934830746833,0.9993595101066587,0.6687080726833271
39,no_scaling,LinearSVC,4000,0,4000,50,50,0.9915970975807434,0.26268130830398284,0.9917181069958847,0.5532073404208062
40,no_scaling,LinearSVC,4000,0,4000,50,100,1.0,0.31622669816605486,1.0,0.5656883658633443
41,no_scaling,LinearSVC,4000,0,4000,50,500,1.0,0.3409855895475769,1.0,0.5739200731804174
45,no_scaling,AdaBoost_10,10,0,10,10,50,0.8531500439859719,0.47011571618471276,0.9919212733259366,0.7208790264312993
46,no_scaling,AdaBoost_10,10,0,10,10,100,0.85100429492209,0.477812846966428,0.9959795760534149,0.732969166240494
47,no_scaling,AdaBoost_10,10,0,10,10,500,0.8705331787186168,0.5165984529597256,0.9983471142627884,0.745637825283855
48,no_scaling,AdaBoost_10,10,0,10,50,50,0.9915970975807434,0.48415904234947976,0.9917181069958847,0.6604987165381913
49,no_scaling,AdaBoost_10,10,0,10,50,100,1.0,0.5082508145758599,1.0,0.6687114492978026
50,no_scaling,AdaBoost_10,10,0,10,50,500,1.0,0.5092721785564754,1.0,0.6687114390534473
54,no_scaling,AdaBoost_10,100,0,100,10,50,0.9138239340728348,0.41132546289767163,0.9908296780945864,0.6517487800294574
55,no_scaling,AdaBoost_10,100,0,100,10,100,0.92212554677516,0.4623839923176681,0.9990909184796276,0.6766884797425964
56,no_scaling,AdaBoost_10,100,0,100,10,500,0.9345273304702467,0.47232021284254877,0.9992562060287861,0.6807948358780468
57,no_scaling,AdaBoost_10,100,0,100,50,50,0.9915970975807434,0.428049508709988,0.9917181069958847,0.6113374114772638
58,no_scaling,AdaBoost_10,100,0,100,50,100,1.0,0.3928864757489888,1.0,0.5991422997703996
59,no_scaling,AdaBoost_10,100,0,100,50,500,1.0,0.3928864757489888,1.0,0.5991422997703996
63,no_scaling,AdaBoost_10,750,0,750,10,50,0.8929197200712026,0.3854098300432473,0.9946400366912954,0.6513355637128875
64,no_scaling,AdaBoost_10,750,0,750,10,100,0.9016044083733833,0.4113944338550981,0.9988429666646391,0.6639182356603964
65,no_scaling,AdaBoost_10,750,0,750,10,500,0.9114688207211064,0.41842950065004275,0.998987606717536,0.6761099809971406
66,no_scaling,AdaBoost_10,750,0,750,50,50,0.9936816313798708,0.3958306563643222,0.9937757201646091,0.5867059766717359
67,no_scaling,AdaBoost_10,750,0,750,50,100,1.0,0.33172090384687397,1.0,0.5741423100147549
68,no_scaling,AdaBoost_10,750,0,750,50,500,1.0,0.3422805621376865,1.0,0.570302872568806
72,no_scaling,AdaBoost_10,1500,0,1500,10,50,0.9257616085082593,0.5014793689899696,0.9950532734940362,0.6972582505121929
73,no_scaling,AdaBoost_10,1500,0,1500,10,100,0.9495553025408173,0.4895732716163164,0.9994421487584253,0.6891694949407792
74,no_scaling,AdaBoost_10,1500,0,1500,10,500,0.9647583681357946,0.508642848193515,0.9996280991722836,0.6974425177428962
75,no_scaling,AdaBoost_10,1500,0,1500,50,50,0.9937205162341112,0.3849129801998914,0.993801440329218,0.6067608846197918
76,no_scaling,AdaBoost_10,1500,0,1500,50,100,1.0,0.3848934516620733,1.0,0.6027371594544292
77,no_scaling,AdaBoost_10,1500,0,1500,50,500,1.0,0.37938513936852186,1.0,0.60269583372503
81,no_scaling,AdaBoost_10,4000,0,4000,10,50,0.9477347203300842,0.47724907169087977,0.9912429020902959,0.6727094671654634
82,no_scaling,AdaBoost_10,4000,0,4000,10,100,0.9561148414129684,0.49160006877067614,0.999504145036743,0.6646653729605027
83,no_scaling,AdaBoost_10,4000,0,4000,10,500,0.9660410622363473,0.4905705770461782,0.9996281068565026,0.6687493881683712
84,no_scaling,AdaBoost_10,4000,0,4000,50,50,0.9915970975807434,0.314856185955577,0.9917181069958847,0.5657486661502052
85,no_scaling,AdaBoost_10,4000,0,4000,50,100,1.0,0.29272607385952737,1.0,0.557456658546271
86,no_scaling,AdaBoost_10,4000,0,4000,50,500,1.0,0.3060041224477115,1.0,0.5616233252129378
90,no_scaling,ExtraTreesClf_10,10,0,10,10,50,0.8183756596787527,0.4393848800302325,0.9873670695298876,0.7161562429241801
91,no_scaling,ExtraTreesClf_10,10,0,10,10,100,0.8491076751491806,0.4370162620090559,0.9939995365523289,0.7121738434882164
92,no_scaling,ExtraTreesClf_10,10,0,10,10,500,0.8529433318903684,0.42919458551382883,0.9981404830543864,0.7039644566100146
93,no_scaling,ExtraTreesClf_10,10,0,10,50,50,0.9915970975807434,0.4753868673260533,0.9917181069958847,0.6764472683507968
94,no_scaling,ExtraTreesClf_10,10,0,10,50,100,1.0,0.47593508330495665,1.0,0.680572629776775
95,no_scaling,ExtraTreesClf_10,10,0,10,50,500,1.0,0.48173183450920726,1.0,0.6805536552193132
99,no_scaling,ExtraTreesClf_10,100,0,100,10,50,0.9389825016870738,0.4918100493354651,0.9931816133005764,0.701033990568095
100,no_scaling,ExtraTreesClf_10,100,0,100,10,100,0.9402300015412965,0.490232333102776,0.9993181895000722,0.7010753367862047
101,no_scaling,ExtraTreesClf_10,100,0,100,10,500,0.951891268885764,0.5243313224056136,0.9994628167459375,0.7055725887993538
102,no_scaling,ExtraTreesClf_10,100,0,100,50,50,0.9937205162341112,0.47644890958315006,0.993801440329218,0.656128787594649
103,no_scaling,ExtraTreesClf_10,100,0,100,50,100,1.0,0.4751201639533349,1.0,0.6560271513340336
104,no_scaling,ExtraTreesClf_10,100,0,100,50,500,1.0,0.4700229229856034,1.0,0.6520637366998872
108,no_scaling,ExtraTreesClf_10,750,0,750,10,50,0.937427307200735,0.48852629877264747,0.9951978930556825,0.69317087917856
109,no_scaling,ExtraTreesClf_10,750,0,750,10,100,0.9492333502720584,0.4752602072467192,0.9994421385128002,0.6808361820961565
110,no_scaling,ExtraTreesClf_10,750,0,750,10,500,0.9550181208450009,0.5303214905854754,0.9995041373525241,0.6893794592248287
111,no_scaling,ExtraTreesClf_10,750,0,750,50,50,0.9937205162341112,0.3685612489201498,0.993801440329218,0.5904024726163809
112,no_scaling,ExtraTreesClf_10,750,0,750,50,100,1.0,0.392024294426609,1.0,0.5946104547680914
113,no_scaling,ExtraTreesClf_10,750,0,750,50,500,1.0,0.37504338352827205,1.0,0.5905040986326412
117,no_scaling,ExtraTreesClf_10,1500,0,1500,10,50,0.9229558577781461,0.45485108030633364,0.9929956449568741,0.6723599072615191
118,no_scaling,ExtraTreesClf_10,1500,0,1500,10,100,0.9202797980248788,0.4335551535819276,0.9990702428078965,0.6720706578887913
119,no_scaling,ExtraTreesClf_10,1500,0,1500,10,500,0.9419110553091818,0.503865743518703,0.9993388472419591,0.6891315560702106
120,no_scaling,ExtraTreesClf_10,1500,0,1500,50,50,0.9915970975807434,0.3247590346857678,0.9917181069958847,0.5699153430612273
121,no_scaling,ExtraTreesClf_10,1500,0,1500,50,100,1.0,0.3695043314346986,1.0,0.5863787576953735
122,no_scaling,ExtraTreesClf_10,1500,0,1500,50,500,1.0,0.348504690588659,1.0,0.5781470503783004
126,no_scaling,ExtraTreesClf_10,4000,0,4000,10,50,0.9245361403728033,0.44718914992139597,0.9930163078215736,0.6765232382911318
127,no_scaling,ExtraTreesClf_10,4000,0,4000,10,100,0.9424615922263672,0.48552918657457417,0.999338854926178,0.6766728920439652
128,no_scaling,ExtraTreesClf_10,4000,0,4000,10,500,0.9536373563454186,0.48152635179071557,0.9994834744878246,0.6727507826505071
129,no_scaling,ExtraTreesClf_10,4000,0,4000,50,50,0.9937205162341112,0.30294866251891045,0.993801440329218,0.5615216991966775
130,no_scaling,ExtraTreesClf_10,4000,0,4000,50,100,1.0,0.34639796695321734,1.0,0.5741233252129377
131,no_scaling,ExtraTreesClf_10,4000,0,4000,50,500,1.0,0.30689625243159857,1.0,0.5617249512291979
