,scaler,fs_model,fs_m,pca_n,tot_n_features,max_depth,n_estimators,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
41,StandardScaler,LinearSVC,4000,0,4000,50,500,1.0,0.38104544097873716,1.0,0.58693148493735
45,StandardScaler,AdaBoost_10,10,0,10,10,50,0.8137847104382228,0.42030973452797227,0.9974517906336088,0.7123886963476406
46,StandardScaler,AdaBoost_10,10,0,10,10,100,0.8206714632908723,0.4415410389468487,0.9975895316804408,0.7207529103350216
47,StandardScaler,AdaBoost_10,10,0,10,10,500,0.8345858042118532,0.46038659045452746,0.9978374655647383,0.7250331022838353
48,StandardScaler,AdaBoost_10,10,0,10,50,50,0.9986088819676815,0.43752843070868414,0.9986263736263736,0.6276781747089664
49,StandardScaler,AdaBoost_10,10,0,10,50,100,1.0,0.4442478330853595,1.0,0.6319792499777837
50,StandardScaler,AdaBoost_10,10,0,10,50,500,1.0,0.4400375414847544,1.0,0.6319792499777837
54,StandardScaler,AdaBoost_10,100,0,100,10,50,0.9008050225237063,0.45523136060223895,0.9988154269972451,0.6928363547498444
55,StandardScaler,AdaBoost_10,100,0,100,10,100,0.9201543035770804,0.46010960057561856,0.9990909090909091,0.6849266862170089
56,StandardScaler,AdaBoost_10,100,0,100,10,500,0.9103885335829809,0.4876925650053926,0.9989669421487604,0.6932495778903405
57,StandardScaler,AdaBoost_10,100,0,100,50,50,1.0,0.41331478316125747,1.0,0.5991626677330489
58,StandardScaler,AdaBoost_10,100,0,100,50,100,1.0,0.4507626399505175,1.0,0.615694925797565
59,StandardScaler,AdaBoost_10,100,0,100,50,500,1.0,0.43800462492136605,1.0,0.6074029147782813
63,StandardScaler,AdaBoost_10,750,0,750,10,50,0.8961418978752387,0.4483727166814998,0.9987741046831956,0.70057029236648
64,StandardScaler,AdaBoost_10,750,0,750,10,100,0.8917876472451935,0.47026445815750667,0.9987052341597796,0.7088931840398116
65,StandardScaler,AdaBoost_10,750,0,750,10,500,0.902561009700806,0.4606868607757082,0.9988705234159779,0.7046851950590953
66,StandardScaler,AdaBoost_10,750,0,750,50,50,1.0,0.38182575463215496,1.0,0.5909224206878165
67,StandardScaler,AdaBoost_10,750,0,750,50,100,1.0,0.3727964412594684,1.0,0.590881098373767
68,StandardScaler,AdaBoost_10,750,0,750,50,500,1.0,0.40470766198229213,1.0,0.6035568292899671
72,StandardScaler,AdaBoost_10,1500,0,1500,10,50,0.935556474436891,0.5093776442085632,0.9992561983471073,0.7218168488403093
73,StandardScaler,AdaBoost_10,1500,0,1500,10,100,0.9409716932574468,0.5071551193430517,0.9993388429752066,0.7136901270772238
74,StandardScaler,AdaBoost_10,1500,0,1500,10,500,0.9504441855515577,0.5267977622268682,0.9994628099173554,0.7180220830000889
75,StandardScaler,AdaBoost_10,1500,0,1500,50,50,0.997217763935363,0.5270197246623636,0.9972527472527473,0.65678263574158
76,StandardScaler,AdaBoost_10,1500,0,1500,50,100,1.0,0.5044583230615687,1.0,0.6529365502532658
77,StandardScaler,AdaBoost_10,1500,0,1500,50,500,1.0,0.47189101053569704,1.0,0.6362698835865991
81,StandardScaler,AdaBoost_10,4000,0,4000,10,50,0.9458266759174638,0.5170101587412734,0.9994077134986226,0.7016137918777214
82,StandardScaler,AdaBoost_10,4000,0,4000,10,100,0.9708965306357537,0.5548646185895537,0.9996969696969698,0.7100606504932019
83,StandardScaler,AdaBoost_10,4000,0,4000,10,500,0.9747679174554651,0.5426269716928519,0.9997382920110193,0.7058526615124856
84,StandardScaler,AdaBoost_10,4000,0,4000,50,50,1.0,0.4125769700832037,1.0,0.5991626677330489
85,StandardScaler,AdaBoost_10,4000,0,4000,50,100,1.0,0.41093288984913523,1.0,0.5990282591308984
86,StandardScaler,AdaBoost_10,4000,0,4000,50,500,1.0,0.4049415465092321,1.0,0.6029778725673154
90,StandardScaler,ExtraTreesClf_10,10,0,10,10,50,0.54546179307624,0.2783781073675309,0.9810382042200223,0.7305836221452058
91,StandardScaler,ExtraTreesClf_10,10,0,10,10,100,0.5954753979998768,0.30727832892138157,0.9907851239669422,0.7411792410912647
92,StandardScaler,ExtraTreesClf_10,10,0,10,10,500,0.6180503737458748,0.3139875220284023,0.9903343626070898,0.7377976983915401
93,StandardScaler,ExtraTreesClf_10,10,0,10,50,50,0.9944280089041149,0.4718309105296417,0.9945054945054945,0.668393983826535
94,StandardScaler,ExtraTreesClf_10,10,0,10,50,100,1.0,0.46855485113095835,1.0,0.6682182529103351
95,StandardScaler,ExtraTreesClf_10,10,0,10,50,500,1.0,0.4818375575296352,1.0,0.6724262418910513
99,StandardScaler,ExtraTreesClf_10,100,0,100,10,50,0.9507765322471373,0.5441500845074081,0.9994490358126721,0.7098849195770017
100,StandardScaler,ExtraTreesClf_10,100,0,100,10,100,0.9708916215848511,0.5585772605366394,0.9996969696969698,0.7184870701146361
101,StandardScaler,ExtraTreesClf_10,100,0,100,10,500,0.9785670985481913,0.5783752760820104,0.9997796143250688,0.7308526615124855
102,StandardScaler,ExtraTreesClf_10,100,0,100,50,50,0.9986088819676815,0.5268372371101252,0.9986263736263736,0.6648989158446637
103,StandardScaler,ExtraTreesClf_10,100,0,100,50,100,1.0,0.5365897504475825,1.0,0.6774506798187151
104,StandardScaler,ExtraTreesClf_10,100,0,100,50,500,1.0,0.5513608617519503,1.0,0.6816586687994313
108,StandardScaler,ExtraTreesClf_10,750,0,750,10,50,0.9562601653278389,0.5288849594254834,0.9995316804407715,0.7099471252110547
109,StandardScaler,ExtraTreesClf_10,750,0,750,10,100,0.9664489727316334,0.528428384378688,0.9996418732782368,0.7096783080067538
110,StandardScaler,ExtraTreesClf_10,750,0,750,10,500,0.9749371053871958,0.5641105318196528,0.9997382920110194,0.7223435972629522
111,StandardScaler,ExtraTreesClf_10,750,0,750,50,50,0.9986088819676815,0.45477631931936713,0.9986263736263736,0.6276677330489647
112,StandardScaler,ExtraTreesClf_10,750,0,750,50,100,1.0,0.449627596725776,1.0,0.6195514529458811
113,StandardScaler,ExtraTreesClf_10,750,0,750,50,500,1.0,0.4761536757169474,1.0,0.6319170443437305
117,StandardScaler,ExtraTreesClf_10,1500,0,1500,10,50,0.9534449398574462,0.5664119311592581,0.9994903581267218,0.7303772327379365
118,StandardScaler,ExtraTreesClf_10,1500,0,1500,10,100,0.9626407234832501,0.5190692013830726,0.9996005509641874,0.705604727628188
119,StandardScaler,ExtraTreesClf_10,1500,0,1500,10,500,0.9650920819285838,0.5368256030619102,0.9996280991735538,0.7098953612370035
120,StandardScaler,ExtraTreesClf_10,1500,0,1500,50,50,1.0,0.4269795394224505,1.0,0.6031018395094642
121,StandardScaler,ExtraTreesClf_10,1500,0,1500,50,100,1.0,0.4722747616340154,1.0,0.6236663556384964
122,StandardScaler,ExtraTreesClf_10,1500,0,1500,50,500,1.0,0.45689064392366086,1.0,0.6156018395094641
126,StandardScaler,ExtraTreesClf_10,4000,0,4000,10,50,0.934110763780806,0.5269476715274175,0.9992699724517906,0.7139898249355727
127,StandardScaler,ExtraTreesClf_10,4000,0,4000,10,100,0.947722244112561,0.5338250470377046,0.9994352617079889,0.7181564916022394
128,StandardScaler,ExtraTreesClf_10,4000,0,4000,10,500,0.9657513976626251,0.5422068463694732,0.999641873278237,0.709936683551053
