,seed,upsampler,downsampler,up_class_ratio,down_vs_up_ratio,final_class_ratio,train_mcc,val_mcc,train_bal_acc,val_bal_acc
178,2,SVMSMOTE,RandomUnderSampler,0.01,1.5,0.015,0.9018810524207902,0.5186881645796395,0.9994406575369515,0.783781271588686
179,2,SVMSMOTE,RandomUnderSampler,0.01,1.75,0.0175,0.874049000081024,0.4841057579314086,0.9992491717584105,0.7750394092462116
180,2,SVMSMOTE,RandomUnderSampler,0.01,2,0.02,0.8060046705455282,0.49671135597623833,0.9986898313268284,0.8075757849151639
181,2,SVMSMOTE,RandomUnderSampler,0.05,1,0.05,1.0,0.504148544570821,1.0,0.76342235592397
182,2,SVMSMOTE,RandomUnderSampler,0.05,1.25,0.0625,0.9442896758467715,0.48420931113594684,0.9997026930999056,0.7714130326583628
183,2,SVMSMOTE,RandomUnderSampler,0.05,1.5,0.07500000000000001,0.9055601284493722,0.466661821694727,0.9994658543238419,0.754867313412209
184,2,SVMSMOTE,RandomUnderSampler,0.05,1.75,0.08750000000000001,0.8522703709974018,0.4375702017752798,0.9990828817510267,0.758696716086401
185,2,SVMSMOTE,RandomUnderSampler,0.05,2,0.1,0.8103399661887238,0.4511338238542052,0.9987301455256266,0.7705959340168917
186,2,SVMSMOTE,RandomUnderSampler,0.1,1,0.1,1.0,0.46758839596245244,1.0,0.7305634524462107
187,2,SVMSMOTE,RandomUnderSampler,0.1,1.25,0.125,0.95570052287037,0.49505128085027705,0.9997682010383944,0.7554626663143824
188,2,SVMSMOTE,RandomUnderSampler,0.1,1.5,0.15000000000000002,0.8883961563483966,0.48572403768894307,0.9993499538273058,0.7714533430487753
189,2,SVMSMOTE,RandomUnderSampler,0.1,1.75,0.17500000000000002,0.8396568724368519,0.4387783676059646,0.9989820999360646,0.7624897512162786
190,2,SVMSMOTE,RandomUnderSampler,0.1,2,0.2,0.8059279238011834,0.45888535336432595,0.9986797504282459,0.7748432458382964
191,2,SVMSMOTE,RandomUnderSampler,0.2,1,0.2,1.0,0.47281447513863784,1.0,0.7345231461181172
192,2,SVMSMOTE,RandomUnderSampler,0.2,1.25,0.25,0.9476796476614139,0.47809612051791006,0.9997228498184046,0.746922359986289
193,2,SVMSMOTE,RandomUnderSampler,0.2,1.5,0.30000000000000004,0.8844823417663671,0.45925036069202835,0.9993247600876151,0.7628579698350073
194,2,SVMSMOTE,RandomUnderSampler,0.2,1.75,0.35000000000000003,0.8586423235168799,0.4512931842161406,0.9991332720236743,0.7709897552785975
195,2,SVMSMOTE,RandomUnderSampler,0.2,2,0.4,0.8208165500167214,0.44890183992859,0.998825888033997,0.7825408752558551
196,2,SVMSMOTE,RandomUnderSampler,0.4,1,0.4,1.0,0.512703838679556,1.0,0.7432851778739139
197,2,SVMSMOTE,RandomUnderSampler,0.4,1.25,0.5,0.9388880327731389,0.47601493502243397,0.9996724592918238,0.7511549071877939
198,2,SVMSMOTE,RandomUnderSampler,0.4,1.5,0.6000000000000001,0.8925571047616783,0.48523269536827174,0.9993801896668542,0.7792719442607599
199,2,SVMSMOTE,RandomUnderSampler,0.4,1.75,0.7000000000000001,0.84262883805894,0.4591415806768785,0.9990072969768884,0.7831214960366799
200,2,SVMSMOTE,RandomUnderSampler,0.4,2,0.8,0.8106699510032321,0.4687734139647228,0.9987351868636845,0.7790502107084188
201,2,no_resampling,no_resampling,NA,NA,NA,1.0,0.3940181691451883,1.0,0.6764522040593396
202,3,RandomOverSampler,RandomUnderSampler,0.01,1,0.01,1.0,0.5139822216288038,1.0,0.7472246980701792
203,3,RandomOverSampler,RandomUnderSampler,0.01,1.25,0.0125,0.943001336037943,0.5136468917753861,0.9996976537933142,0.7672556933196222
204,3,RandomOverSampler,RandomUnderSampler,0.01,1.5,0.015,0.8942778072032352,0.48290293645359383,0.9993902692957702,0.7913835684156656
205,3,RandomOverSampler,RandomUnderSampler,0.01,1.75,0.0175,0.8429366961029803,0.454841520156804,0.9990072977386883,0.7783083158673931
206,3,RandomOverSampler,RandomUnderSampler,0.01,2,0.02,0.8007775517276432,0.4631515483663322,0.9986394430856473,0.7866215122859554
207,3,RandomOverSampler,RandomUnderSampler,0.05,1,0.05,1.0,0.5051206753378994,1.0,0.7389518364159428
208,3,RandomOverSampler,RandomUnderSampler,0.05,1.25,0.0625,0.9327076969374064,0.49744544107133254,0.999637184399617,0.7753269908348398
209,3,RandomOverSampler,RandomUnderSampler,0.05,1.5,0.07500000000000001,0.8869459534927365,0.4572183303881118,0.9993398792770559,0.7750757605412503
210,3,RandomOverSampler,RandomUnderSampler,0.05,1.75,0.08750000000000001,0.8520934995530436,0.4673940973971734,0.9990728056771768,0.7868486425070812
211,3,RandomOverSampler,RandomUnderSampler,0.05,2,0.1,0.7904731290625253,0.44920069615771496,0.9985285854507688,0.7985571099477171
212,3,RandomOverSampler,RandomUnderSampler,0.1,1,0.1,1.0,0.4551412933996061,1.0,0.7220634443215728
213,3,RandomOverSampler,RandomUnderSampler,0.1,1.25,0.125,0.9396207171345985,0.460194660576009,0.9996774965669486,0.7381750644141596
214,3,RandomOverSampler,RandomUnderSampler,0.1,1.5,0.15000000000000002,0.8893900567620694,0.4768958121449062,0.9993549961810968,0.770898268038463
215,3,RandomOverSampler,RandomUnderSampler,0.1,1.75,0.17500000000000002,0.8395615171036752,0.44337967012418317,0.998977062914873,0.7704548253076942
216,3,RandomOverSampler,RandomUnderSampler,0.1,2,0.2,0.8009613857310866,0.4285275532649065,0.9986394438474472,0.7822842645427563
217,3,RandomOverSampler,RandomUnderSampler,0.2,1,0.2,1.0,0.463337109730187,1.0,0.7182247021324979
218,3,RandomOverSampler,RandomUnderSampler,0.2,1.25,0.25,0.9388285475811925,0.46714652538758317,0.9996724577682239,0.7381548950008373
219,3,RandomOverSampler,RandomUnderSampler,0.2,1.5,0.30000000000000004,0.8998850986663817,0.4467554307324485,0.9994255429183104,0.7504587478421978
220,3,RandomOverSampler,RandomUnderSampler,0.2,1.75,0.35000000000000003,0.8486490291906243,0.4527588006960836,0.9990476104138863,0.7745757808528448
221,3,RandomOverSampler,RandomUnderSampler,0.2,2,0.4,0.8067009185792611,0.4693822936697784,0.9986999124793445,0.8032331283162233
222,3,RandomOverSampler,RandomUnderSampler,0.4,1,0.4,1.0,0.5164203605030251,1.0,0.7511642223287633
223,3,RandomOverSampler,RandomUnderSampler,0.4,1.25,0.5,0.9448203079694057,0.48629169245855375,0.9997077313907639,0.7509223518616512
224,3,RandomOverSampler,RandomUnderSampler,0.4,1.5,0.6000000000000001,0.894492923625983,0.46669911991991064,0.9993902695497037,0.762999062294929
225,3,RandomOverSampler,RandomUnderSampler,0.4,1.75,0.7000000000000001,0.8463902222031517,0.46400069209007777,0.9990375318007036,0.7825556195641603
226,3,RandomOverSampler,RandomUnderSampler,0.4,2,0.8,0.8100277444999708,0.4418201530074062,0.99872007046751,0.7902385493589215
227,3,SMOTE,RandomUnderSampler,0.01,1,0.01,1.0,0.48596797880537457,1.0,0.7384774228096443
228,3,SMOTE,RandomUnderSampler,0.01,1.25,0.0125,0.9468290048674767,0.44151828254627723,0.9997178097500135,0.7297812634640483
229,3,SMOTE,RandomUnderSampler,0.01,1.5,0.015,0.8915247073100027,0.47624152408842074,0.9993701135930045,0.7788378126086416
230,3,SMOTE,RandomUnderSampler,0.01,1.75,0.0175,0.8509998499568596,0.44382900349765053,0.9990728061850437,0.7745610406068585
231,3,SMOTE,RandomUnderSampler,0.01,2,0.02,0.7989294542088795,0.41854689965420827,0.9986192825581487,0.7697385818574725
