,remove_corr_n,scaler,fs_model,fs_m,fs_univ_k,pca_n,tot_n_features,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
59,0,RobustScaler,LinearSVC,4000,75,25,4032,1.0,0.45682126606702333,1.0,0.7373886963476406
60,0,RobustScaler,na,na,na,0,5408,1.0,0.4099424557533713,1.0,0.7280118635030659
61,10,RobustScaler,LinearSVC,10,10,0,15,0.1944688229145585,0.1660865779618361,0.8472432870160143,0.7970185728250244
62,10,RobustScaler,LinearSVC,10,10,10,25,0.2749367857340384,0.2577264063501703,0.8745855659492023,0.8488300897538434
63,10,RobustScaler,LinearSVC,10,10,25,40,0.27640407027352154,0.24635892806940057,0.8828678392314755,0.8425768683906514
64,10,RobustScaler,LinearSVC,10,20,0,20,0.19700279863423212,0.16934695500966895,0.8670265088446907,0.8149420154625433
65,10,RobustScaler,LinearSVC,10,20,10,30,0.27574663716137376,0.2560628026968362,0.8916697443970172,0.8614984892917443
66,10,RobustScaler,LinearSVC,10,20,25,45,0.27788218764907846,0.24268728979517235,0.8978368853368853,0.8477797031902603
67,10,RobustScaler,LinearSVC,10,50,0,35,0.2081740288579907,0.18757298215471957,0.8757487462032917,0.837807029236648
68,10,RobustScaler,LinearSVC,10,50,10,45,0.2905863177352598,0.2668985543523875,0.9069271132907496,0.8712676619568115
69,10,RobustScaler,LinearSVC,10,50,25,60,0.29618160485117073,0.2545419334067914,0.91287765265038,0.8578381320536747
70,10,RobustScaler,LinearSVC,10,75,0,48,0.22937345650581648,0.19253900069192104,0.8821588512497602,0.8212645516751089
71,10,RobustScaler,LinearSVC,10,75,10,58,0.32948860219472165,0.28504849789046294,0.934376431649159,0.8793290678041412
72,10,RobustScaler,LinearSVC,10,75,25,73,0.33661319841069787,0.2868308456698824,0.9428430407975862,0.8798766995467875
73,10,RobustScaler,LinearSVC,250,10,0,250,1.0,0.39429208885476186,1.0,0.7707664622767262
74,10,RobustScaler,LinearSVC,250,10,10,260,0.9853822086175015,0.36478725170498605,0.9998484848484848,0.7608728783435528
75,10,RobustScaler,LinearSVC,250,10,25,275,1.0,0.4284791302558948,1.0,0.7872156313871856
76,10,RobustScaler,LinearSVC,250,20,0,254,1.0,0.3853302232981908,1.0,0.7665689149560116
