,remove_corr_n,scaler,fs_model,fs_m,fs_univ_k,pca_n,tot_n_features,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
73,10,StandardScaler,LinearSVC,1000,10,0,1003,1.0,0.5172120960341436,1.0,0.7779492135430552
74,10,StandardScaler,LinearSVC,1000,10,10,1013,1.0,0.5497169444059323,1.0,0.7867784146449834
75,10,StandardScaler,LinearSVC,1000,10,25,1028,1.0,0.5406629483584783,1.0,0.7948329334399715
76,10,StandardScaler,LinearSVC,1000,50,0,1014,1.0,0.5401241770211733,1.0,0.786623567048787
77,10,StandardScaler,LinearSVC,1000,50,10,1024,1.0,0.5513649960047804,1.0,0.790862436683551
78,10,StandardScaler,LinearSVC,1000,50,25,1039,1.0,0.5474629204494315,1.0,0.7987307829023372
79,10,StandardScaler,LinearSVC,1000,100,0,1030,1.0,0.5388067529605757,1.0,0.782487781036168
80,10,StandardScaler,LinearSVC,1000,100,10,1040,1.0,0.5428926540630529,1.0,0.7907075890873544
81,10,StandardScaler,LinearSVC,1000,100,25,1055,1.0,0.5449362411085801,1.0,0.7989169554785391
82,10,StandardScaler,LinearSVC,4000,10,0,4000,1.0,0.40272672525095665,1.0,0.7744368168488404
83,10,StandardScaler,LinearSVC,4000,10,10,4010,1.0,0.4169600874117077,1.0,0.7790684706300542
84,10,StandardScaler,LinearSVC,4000,10,25,4025,1.0,0.4044197534661634,1.0,0.7665167066560028
85,10,StandardScaler,LinearSVC,4000,50,0,4003,1.0,0.3960365290508636,1.0,0.7704563227583756
86,10,StandardScaler,LinearSVC,4000,50,10,4013,1.0,0.4253311505199645,1.0,0.7792646405403004
87,10,StandardScaler,LinearSVC,4000,50,25,4028,1.0,0.40969165232122384,1.0,0.7706316093486182
88,10,StandardScaler,LinearSVC,4000,100,0,4008,1.0,0.36893862463092836,1.0,0.753645250155514
89,10,StandardScaler,LinearSVC,4000,100,10,4018,1.0,0.44129686757651365,1.0,0.7876288545276815
90,10,StandardScaler,LinearSVC,4000,100,25,4033,1.0,0.3899741821929907,1.0,0.7542750822003021
91,10,StandardScaler,na,na,na,0,5398,1.0,0.35970240935595077,1.0,0.7645541189016262
92,100,StandardScaler,LinearSVC,10,10,0,15,0.21237294068878415,0.19824302892240342,0.8295187892915166,0.8089849373500401
93,100,StandardScaler,LinearSVC,10,10,10,25,0.22752881230283709,0.20655942438056926,0.8741397743670472,0.8424593441748867
94,100,StandardScaler,LinearSVC,10,10,25,40,0.286125433737988,0.2617071822726879,0.9079939252666526,0.8728723451524039
95,100,StandardScaler,LinearSVC,10,50,0,35,0.22430979617388525,0.1905652015420823,0.8670084460993551,0.8108824313516396
96,100,StandardScaler,LinearSVC,10,50,10,45,0.2535277408414185,0.2292704960300956,0.8932584839403022,0.8586439171776415
97,100,StandardScaler,LinearSVC,10,50,25,60,0.3013042189417972,0.2702016723340974,0.9130605001059546,0.8719288189816049
98,100,StandardScaler,LinearSVC,10,100,0,60,0.2541317245872974,0.21987539310319817,0.89023655637292,0.839515240380343
99,100,StandardScaler,LinearSVC,10,100,10,70,0.2962562708710985,0.2516327225277757,0.9175073663710027,0.8568463965164845
100,100,StandardScaler,LinearSVC,10,100,25,85,0.3305582666327618,0.25852545963514745,0.9334465534465535,0.8419530347462899
101,100,StandardScaler,LinearSVC,250,10,0,254,1.0,0.4431796534814908,1.0,0.7446989691637786
102,100,StandardScaler,LinearSVC,250,10,10,264,1.0,0.44188585880769116,1.0,0.7643543943837199
103,100,StandardScaler,LinearSVC,250,10,25,279,1.0,0.4601205182252044,1.0,0.753032302497112
104,100,StandardScaler,LinearSVC,250,50,0,273,1.0,0.4523843118196397,1.0,0.7565478094730294
105,100,StandardScaler,LinearSVC,250,50,10,283,1.0,0.44198745735772443,1.0,0.7681387185639386
106,100,StandardScaler,LinearSVC,250,50,25,298,1.0,0.4725333299954535,1.0,0.7689651648449302
107,100,StandardScaler,LinearSVC,250,100,0,295,1.0,0.46258406902110916,1.0,0.7610246156580467
108,100,StandardScaler,LinearSVC,250,100,10,305,1.0,0.42749465019239813,1.0,0.755142406469386
109,100,StandardScaler,LinearSVC,250,100,25,320,1.0,0.4616835456159245,1.0,0.764457478005865
110,100,StandardScaler,LinearSVC,500,10,0,503,1.0,0.5664401596760489,1.0,0.7872434017595309
111,100,StandardScaler,LinearSVC,500,10,10,513,1.0,0.5504232019760831,1.0,0.7911725762019017
112,100,StandardScaler,LinearSVC,500,10,25,528,1.0,0.5396376145241198,1.0,0.7908833200035547
113,100,StandardScaler,LinearSVC,500,50,0,522,1.0,0.5280520606963186,1.0,0.7624708966497823
114,100,StandardScaler,LinearSVC,500,50,10,532,1.0,0.5710414753602727,1.0,0.803362436683551
115,100,StandardScaler,LinearSVC,500,50,25,547,1.0,0.5721298360946261,1.0,0.8035794899138008
116,100,StandardScaler,LinearSVC,500,100,0,541,1.0,0.5315335146792844,1.0,0.7663274237980983
117,100,StandardScaler,LinearSVC,500,100,10,551,1.0,0.5626719163123701,1.0,0.8070536745756688
118,100,StandardScaler,LinearSVC,500,100,25,566,1.0,0.5898798323110406,1.0,0.8038687461121479
119,100,StandardScaler,LinearSVC,1000,10,0,1003,1.0,0.5418388578964438,1.0,0.7904800941971029
120,100,StandardScaler,LinearSVC,1000,10,10,1013,1.0,0.5493097107604803,1.0,0.7788791877721497
121,100,StandardScaler,LinearSVC,1000,10,25,1028,1.0,0.5309116511309424,1.0,0.7821467608637696
122,100,StandardScaler,LinearSVC,1000,50,0,1015,1.0,0.5446103614898361,1.0,0.7867062116768861
123,100,StandardScaler,LinearSVC,1000,50,10,1025,1.0,0.5340231661436579,1.0,0.7864996001066382
124,100,StandardScaler,LinearSVC,1000,50,25,1040,1.0,0.5579699896488035,1.0,0.7949877810361681
125,100,StandardScaler,LinearSVC,1000,100,0,1031,1.0,0.5461532762383833,1.0,0.7906558251133031
126,100,StandardScaler,LinearSVC,1000,100,10,1041,1.0,0.5558014597257823,1.0,0.7869954678752333
127,100,StandardScaler,LinearSVC,1000,100,25,1056,1.0,0.5466845012192482,1.0,0.7949569003821203
128,100,StandardScaler,LinearSVC,4000,10,0,4000,1.0,0.40046933237302157,1.0,0.7741888829645428
129,100,StandardScaler,LinearSVC,4000,10,10,4010,1.0,0.39285982862042745,1.0,0.7503150271038834
130,100,StandardScaler,LinearSVC,4000,10,25,4025,1.0,0.4178096838030585,1.0,0.7668264018483959
131,100,StandardScaler,LinearSVC,4000,50,0,4003,1.0,0.37956065437793696,1.0,0.7576566249000267
132,100,StandardScaler,LinearSVC,4000,50,10,4013,1.0,0.41422351968177373,1.0,0.778985826001955
133,100,StandardScaler,LinearSVC,4000,50,25,4028,1.0,0.41267630323696636,1.0,0.786658002310495
134,100,StandardScaler,LinearSVC,4000,100,0,4008,1.0,0.4070101927884948,1.0,0.7746021061050385
135,100,StandardScaler,LinearSVC,4000,100,10,4018,1.0,0.4049602348203674,1.0,0.7666615569181551
136,100,StandardScaler,LinearSVC,4000,100,25,4033,1.0,0.4070289229367459,1.0,0.77465387007909
137,100,StandardScaler,na,na,na,0,5308,1.0,0.3484262085790728,1.0,0.7678943392873012
138,500,StandardScaler,LinearSVC,10,10,0,15,0.20880314095701055,0.19132198178279486,0.8269591015045561,0.7998047187416688
139,500,StandardScaler,LinearSVC,10,10,10,25,0.22818855000611848,0.20444172172021782,0.8765717111171657,0.8414571669776948
140,500,StandardScaler,LinearSVC,10,10,25,40,0.2652897397431549,0.2373617814422691,0.8972775456866364,0.8584646316537813
141,500,StandardScaler,LinearSVC,10,50,0,35,0.2157784067709027,0.18199744216804092,0.8645804195804196,0.8067501999466808
142,500,StandardScaler,LinearSVC,10,50,10,45,0.23165366003936178,0.206126153557128,0.8823279246006519,0.8423766995467875
