,i,fold,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
70,70,1,RobustScaler,None,128,0.4,128,0.4,4096,75,30,0.01,0.625,0.16666667,0.34703797,0.33282286
71,71,1,RobustScaler,None,128,0.4,128,0.4,4096,75,30,0.001,0.5625,0.3,0.3616169,0.41030735
72,72,1,RobustScaler,None,128,0.4,128,0.4,4096,100,10,0.1,0.0,0.0,0.004813864,0.0
73,73,1,RobustScaler,None,128,0.4,128,0.4,4096,100,10,0.01,0.0,0.0,0.048110686,-0.000813363
74,74,1,RobustScaler,None,128,0.4,128,0.4,4096,100,10,0.001,0.44444445,0.4,0.42726368,0.41853634
75,75,1,RobustScaler,None,128,0.4,128,0.4,4096,100,20,0.1,0.0,0.0,0.06396555,0.0
76,76,1,RobustScaler,None,128,0.4,128,0.4,4096,100,20,0.01,0.0,0.0,0.22477409,-0.000813363
77,77,1,RobustScaler,None,128,0.4,128,0.4,4096,100,20,0.001,0.625,0.33333334,0.4016925,0.4574356
78,78,1,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.1,0.0,0.0,0.004813864,0.0
79,79,1,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.01,0.0,0.0,0.23286772,0.0
80,80,1,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.6111111,0.36666667,0.41114438,0.48316598
81,81,1,RobustScaler,3,128,0.4,128,0.4,4096,50,10,0.1,0.0,0.0,0.004813864,0.0
82,82,1,RobustScaler,3,128,0.4,128,0.4,4096,50,10,0.01,1.0,0.033333335,0.4513303,0.14396526
83,83,1,RobustScaler,3,128,0.4,128,0.4,4096,50,10,0.001,0.5625,0.3,0.5203237,0.41619092
84,84,1,RobustScaler,3,128,0.4,128,0.4,4096,50,20,0.1,0.0,0.0,0.004813864,0.0
85,85,1,RobustScaler,3,128,0.4,128,0.4,4096,50,20,0.01,0.6666667,0.13333334,0.3960198,0.30959326
86,86,1,RobustScaler,3,128,0.4,128,0.4,4096,50,20,0.001,0.625,0.33333334,0.5248139,0.46207076
87,87,1,RobustScaler,3,128,0.4,128,0.4,4096,50,30,0.1,0.0,0.0,0.004813864,0.0
88,88,1,RobustScaler,3,128,0.4,128,0.4,4096,50,30,0.01,0.6666667,0.26666668,0.46781403,0.4232201
89,89,1,RobustScaler,3,128,0.4,128,0.4,4096,50,30,0.001,0.59090906,0.43333334,0.46203083,0.5158154
90,90,1,RobustScaler,3,128,0.4,128,0.4,4096,75,10,0.1,0.0,0.0,0.012189928,0.0
91,91,1,RobustScaler,3,128,0.4,128,0.4,4096,75,10,0.01,0.5,0.033333335,0.34635377,0.10124739
