,i,fold,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
63,63,1,RobustScaler,3,256,0.5,na,na,4096,75,40,0.001,0.5882353,0.33333334,0.54219276,0.44707045
64,64,2,StandardScaler,None,128,0.5,na,na,4096,75,20,0.01,0.53846157,0.22580644,0.34330067,0.3933942
65,65,2,StandardScaler,None,128,0.5,na,na,4096,75,20,0.001,0.6,0.29032257,0.36038396,0.4599261
66,66,2,StandardScaler,None,128,0.5,na,na,4096,75,40,0.01,0.6875,0.3548387,0.3413509,0.51895654
67,67,2,StandardScaler,None,128,0.5,na,na,4096,75,40,0.001,0.5714286,0.2580645,0.35709736,0.42126507
68,68,2,StandardScaler,None,256,0.5,na,na,4096,75,20,0.01,0.5625,0.29032257,0.38689357,0.45247832
69,69,2,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.54545456,0.19354838,0.36571157,0.37003055
70,70,2,StandardScaler,None,256,0.5,na,na,4096,75,40,0.01,0.47619048,0.32258064,0.32189655,0.4128226
71,71,2,StandardScaler,None,256,0.5,na,na,4096,75,40,0.001,0.4117647,0.22580644,0.28655356,0.37059692
72,72,2,StandardScaler,3,128,0.5,na,na,4096,75,20,0.01,0.5,0.41935483,0.35888332,0.50937325
73,73,2,StandardScaler,3,128,0.5,na,na,4096,75,20,0.001,0.5,0.2580645,0.41311032,0.41923922
74,74,2,StandardScaler,3,128,0.5,na,na,4096,75,40,0.01,0.5,0.29032257,0.3463311,0.42584795
75,75,2,StandardScaler,3,128,0.5,na,na,4096,75,40,0.001,0.55,0.3548387,0.3888425,0.49859402
76,76,2,StandardScaler,3,256,0.5,na,na,4096,75,20,0.01,0.57894737,0.3548387,0.3371092,0.5049049
77,77,2,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.57894737,0.3548387,0.3825383,0.49424982
78,78,2,StandardScaler,3,256,0.5,na,na,4096,75,40,0.01,0.5555556,0.32258064,0.29820472,0.4708199
79,79,2,StandardScaler,3,256,0.5,na,na,4096,75,40,0.001,0.54545456,0.38709676,0.37907594,0.51561934
80,80,2,RobustScaler,None,128,0.5,na,na,4096,75,20,0.01,0.4,0.12903225,0.21605551,0.2574649
81,81,2,RobustScaler,None,128,0.5,na,na,4096,75,20,0.001,0.3888889,0.22580644,0.26077613,0.3368177
82,82,2,RobustScaler,None,128,0.5,na,na,4096,75,40,0.01,0.33333334,0.22580644,0.31120604,0.3335073
83,83,2,RobustScaler,None,128,0.5,na,na,4096,75,40,0.001,0.45,0.29032257,0.26715723,0.4299956
84,84,2,RobustScaler,None,256,0.5,na,na,4096,75,20,0.01,0.6363636,0.22580644,0.3341232,0.41072005
