,scaler,fs_model,fs_m,fs_univ_k,pca_n,tot_n_features,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
72,StandardScaler,AdaBoost_10,10,9,0,19,0.19143569145807013,0.18321708407552753,0.9241596121176796,0.9071789014845474
73,StandardScaler,AdaBoost_10,10,9,10,29,0.19954277896214664,0.1936061219030567,0.9213311287155935,0.9088172088692262
74,StandardScaler,AdaBoost_10,10,9,100,119,0.29843812706918205,0.25023636035335334,0.9633026797044509,0.8974754132963625
75,StandardScaler,AdaBoost_10,10,72,0,78,0.23723590164871386,0.2027112742209791,0.9499534757711804,0.8857085018763345
76,StandardScaler,AdaBoost_10,10,72,10,88,0.27541546680066026,0.22302051644868714,0.9592713626169491,0.8774670910536758
77,StandardScaler,AdaBoost_10,10,72,100,178,0.4425096919578641,0.2862988099895351,0.989911735822537,0.8462680280974642
78,StandardScaler,AdaBoost_10,10,380,0,385,1.0,0.2765791062809666,1.0,0.722116890440741
79,StandardScaler,AdaBoost_10,10,380,10,395,0.9939638102674438,0.29197980596487894,0.9999697647699098,0.7343523114055218
80,StandardScaler,AdaBoost_10,10,380,100,485,1.0,0.28336365946211467,1.0,0.7220135830310827
81,StandardScaler,AdaBoost_10,10,788,0,792,1.0,0.34744084675691017,1.0,0.7481415047595998
82,StandardScaler,AdaBoost_10,10,788,10,802,1.0,0.3392631944288081,1.0,0.7279750144762652
83,StandardScaler,AdaBoost_10,10,788,100,892,1.0,0.36433790888174555,1.0,0.7403305332273652
84,StandardScaler,AdaBoost_10,100,9,0,109,0.23762693470862198,0.1956201671299631,0.9466244330605001,0.8730873513060754
85,StandardScaler,AdaBoost_10,100,9,10,119,0.2596092371295049,0.21341232102508925,0.9558951915435477,0.8819898727703874
86,StandardScaler,AdaBoost_10,100,9,100,209,0.37753388921903475,0.2356808906810518,0.9857998200970292,0.8144861335694672
87,StandardScaler,AdaBoost_10,100,72,0,165,0.33865949645282845,0.21113131043891828,0.9817684627885174,0.8146451203667547
88,StandardScaler,AdaBoost_10,100,72,10,175,0.3940337623491598,0.24393239836553493,0.9870091494680228,0.8196833238097302
89,StandardScaler,AdaBoost_10,100,72,100,265,0.6097911929888186,0.26612906919643325,0.995807469791846,0.7684677152744085
90,StandardScaler,AdaBoost_10,100,380,0,453,1.0,0.27179075421893356,1.0,0.7102837529930147
91,StandardScaler,AdaBoost_10,100,380,10,463,1.0,0.2859441479455077,1.0,0.7227232642492306
92,StandardScaler,AdaBoost_10,100,380,100,553,1.0,0.27321293555400333,1.0,0.7140657428381431
93,StandardScaler,AdaBoost_10,100,788,0,849,1.0,0.3418422542265562,1.0,0.7360656057690192
94,StandardScaler,AdaBoost_10,100,788,10,859,1.0,0.3464784549112603,1.0,0.7324457063060915
95,StandardScaler,AdaBoost_10,100,788,100,949,1.0,0.3163132764127952,1.0,0.7033378055474763
96,StandardScaler,AdaBoost_10,500,9,0,509,1.0,0.22202525279990618,1.0,0.6883636498303466
97,StandardScaler,AdaBoost_10,500,9,10,519,1.0,0.2308051698467742,1.0,0.7043038400266356
98,StandardScaler,AdaBoost_10,500,9,100,609,1.0,0.2543433666990175,1.0,0.7014044541480916
99,StandardScaler,AdaBoost_10,500,72,0,553,1.0,0.28272398379287045,1.0,0.7261407621274746
100,StandardScaler,AdaBoost_10,500,72,10,563,1.0,0.2776289586718305,1.0,0.7182735516528544
101,StandardScaler,AdaBoost_10,500,72,100,653,1.0,0.30283833649773245,1.0,0.7306072114692551
102,StandardScaler,AdaBoost_10,500,380,0,824,1.0,0.32257323817453093,1.0,0.7555896389027202
103,StandardScaler,AdaBoost_10,500,380,10,834,1.0,0.3290090038163442,1.0,0.7320643922713493
104,StandardScaler,AdaBoost_10,500,380,100,924,1.0,0.36755299193729263,1.0,0.7490317237521635
105,StandardScaler,AdaBoost_10,500,788,0,1204,1.0,0.3875603267688841,1.0,0.7492307796145415
106,StandardScaler,AdaBoost_10,500,788,10,1214,1.0,0.3733252272416383,1.0,0.7408168263140261
107,StandardScaler,AdaBoost_10,500,788,100,1304,1.0,0.3815166205253872,1.0,0.737175906175314
108,StandardScaler,AdaBoost_10,1000,9,0,1008,1.0,0.2677042873781971,1.0,0.7099200578427108
109,StandardScaler,AdaBoost_10,1000,9,10,1018,1.0,0.2849079912952959,1.0,0.7222974160262349
110,StandardScaler,AdaBoost_10,1000,9,100,1108,1.0,0.3101705607991794,1.0,0.7389825373984701
111,StandardScaler,AdaBoost_10,1000,72,0,1049,1.0,0.286324771141448,1.0,0.7182911364083111
112,StandardScaler,AdaBoost_10,1000,72,10,1059,1.0,0.29659134264498627,1.0,0.726603500259332
113,StandardScaler,AdaBoost_10,1000,72,100,1149,1.0,0.3016506604926178,1.0,0.7191402644463021
114,StandardScaler,AdaBoost_10,1000,380,0,1279,1.0,0.3426775727278471,1.0,0.7281773989964583
115,StandardScaler,AdaBoost_10,1000,380,10,1289,1.0,0.33707530382195716,1.0,0.7199658155894298
116,StandardScaler,AdaBoost_10,1000,380,100,1379,1.0,0.32940873294122547,1.0,0.707788368591689
117,StandardScaler,AdaBoost_10,1000,788,0,1648,1.0,0.4127173206969499,1.0,0.7578261479529372
118,StandardScaler,AdaBoost_10,1000,788,10,1658,1.0,0.36703311450401616,1.0,0.7246759037375297
119,StandardScaler,AdaBoost_10,1000,788,100,1748,1.0,0.3742732205271711,1.0,0.7288627357565755
120,StandardScaler,AdaBoost_10,2000,9,0,2002,1.0,0.3316611552424637,1.0,0.7276105078826748
121,StandardScaler,AdaBoost_10,2000,9,10,2012,1.0,0.32809779335314154,1.0,0.7155144801064806
122,StandardScaler,AdaBoost_10,2000,9,100,2102,1.0,0.3347327425540855,1.0,0.7115485360688837
123,StandardScaler,AdaBoost_10,2000,72,0,2025,1.0,0.34110594537768874,1.0,0.7276491328161909
124,StandardScaler,AdaBoost_10,2000,72,10,2035,1.0,0.33992087316752523,1.0,0.7317360299635123
125,StandardScaler,AdaBoost_10,2000,72,100,2125,1.0,0.3442022080495337,1.0,0.7239275878347281
126,StandardScaler,AdaBoost_10,2000,380,0,2210,1.0,0.3393330701947949,1.0,0.7199439956592807
127,StandardScaler,AdaBoost_10,2000,380,10,2220,1.0,0.362656050049979,1.0,0.7363461125441407
128,StandardScaler,AdaBoost_10,2000,380,100,2310,1.0,0.36265145395067133,1.0,0.7322197570799571
129,StandardScaler,AdaBoost_10,2000,788,0,2557,1.0,0.3993909324202541,1.0,0.7571979127719642
130,StandardScaler,AdaBoost_10,2000,788,10,2567,1.0,0.3687419952684221,1.0,0.7407362039090598
131,StandardScaler,AdaBoost_10,2000,788,100,2657,1.0,0.38285572475957325,1.0,0.7609824637117398
132,StandardScaler,AdaBoost_10,4000,9,0,4000,1.0,0.3347412321767364,1.0,0.7157361941579223
133,StandardScaler,AdaBoost_10,4000,9,10,4010,1.0,0.3267643509338422,1.0,0.7157177297012165
134,StandardScaler,AdaBoost_10,4000,9,100,4100,1.0,0.30388142366321835,1.0,0.7070820330958468
135,StandardScaler,AdaBoost_10,4000,72,0,4002,1.0,0.3594662389446399,1.0,0.7202455279857555
136,StandardScaler,AdaBoost_10,4000,72,10,4012,1.0,0.34448619628943705,1.0,0.7279943269430232
137,StandardScaler,AdaBoost_10,4000,72,100,4102,1.0,0.3227680349701949,1.0,0.7115308952443864
