,scaler,fs_model,fs_m,fs_univ_k,pca_n,tot_n_features,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
18,no_scaling,LinearSVC,100,383,0,468,1.0,0.3340854578158958,1.0,0.719802935704002
19,no_scaling,LinearSVC,100,383,10,478,1.0,0.31817709955236145,1.0,0.7154556971339384
20,no_scaling,LinearSVC,100,383,100,568,1.0,0.40937655725041383,1.0,0.7538215789818242
21,no_scaling,LinearSVC,100,790,0,862,1.0,0.3516846925347519,1.0,0.7323230644896155
22,no_scaling,LinearSVC,100,790,10,872,1.0,0.31620141710221933,1.0,0.7037249922701901
23,no_scaling,LinearSVC,100,790,100,962,1.0,0.33012860762767243,1.0,0.7037829442971706
24,no_scaling,LinearSVC,500,10,0,502,1.0,0.39898800608038715,1.0,0.7292045280920614
25,no_scaling,LinearSVC,500,10,10,512,1.0,0.4481472596004405,1.0,0.7459291370345711
26,no_scaling,LinearSVC,500,10,100,602,1.0,0.3943682461850462,1.0,0.712758751844628
27,no_scaling,LinearSVC,500,71,0,545,1.0,0.38914456386095875,1.0,0.7168456392408119
28,no_scaling,LinearSVC,500,71,10,555,1.0,0.3917813893772113,1.0,0.7250991738013872
29,no_scaling,LinearSVC,500,71,100,645,1.0,0.3948131048181352,1.0,0.7288803619543666
30,no_scaling,LinearSVC,500,383,0,811,1.0,0.4223522290125874,1.0,0.7375773221800412
31,no_scaling,LinearSVC,500,383,10,821,1.0,0.42948916212676674,1.0,0.7379216853613121
32,no_scaling,LinearSVC,500,383,100,911,1.0,0.3828637445086465,1.0,0.7205470066809738
33,no_scaling,LinearSVC,500,790,0,1161,1.0,0.4218968579447182,1.0,0.7376789530718701
34,no_scaling,LinearSVC,500,790,10,1171,1.0,0.39608896053347326,1.0,0.7291642193273625
35,no_scaling,LinearSVC,500,790,100,1261,1.0,0.3864376280142838,1.0,0.7208712020720811
36,no_scaling,LinearSVC,1000,10,0,1001,1.0,0.4050273532557039,1.0,0.7211130717247646
37,no_scaling,LinearSVC,1000,10,10,1011,1.0,0.41365940923880135,1.0,0.7133063353672222
38,no_scaling,LinearSVC,1000,10,100,1101,1.0,0.3451177116231063,1.0,0.6878620665676395
39,no_scaling,LinearSVC,1000,71,0,1037,1.0,0.42367390329388827,1.0,0.7375160293063235
40,no_scaling,LinearSVC,1000,71,10,1047,1.0,0.4166997295974199,1.0,0.7133869626477574
41,no_scaling,LinearSVC,1000,71,100,1137,1.0,0.37451599139586395,1.0,0.7006047793548064
42,no_scaling,LinearSVC,1000,383,0,1240,1.0,0.3995361232267685,1.0,0.7211340704604896
43,no_scaling,LinearSVC,1000,383,10,1250,1.0,0.42277366941524747,1.0,0.7255627818833563
44,no_scaling,LinearSVC,1000,383,100,1340,1.0,0.37815404793936125,1.0,0.7047512928580159
45,no_scaling,LinearSVC,1000,790,0,1550,1.0,0.3907664511268218,1.0,0.7007248722655568
46,no_scaling,LinearSVC,1000,790,10,1560,1.0,0.39341687448587925,1.0,0.7007651785924712
47,no_scaling,LinearSVC,1000,790,100,1650,1.0,0.3786240139849289,1.0,0.6924931503217774
48,no_scaling,LinearSVC,2000,10,0,2000,1.0,0.3240651953006697,1.0,0.6755653039734536
49,no_scaling,LinearSVC,2000,10,10,2010,1.0,0.3643844523369886,1.0,0.7042238454343881
50,no_scaling,LinearSVC,2000,10,100,2100,1.0,0.35767356930520294,1.0,0.7119508073970163
51,no_scaling,LinearSVC,2000,71,0,2021,1.0,0.3410643945826548,1.0,0.6957905796671148
52,no_scaling,LinearSVC,2000,71,10,2031,1.0,0.3618636962758983,1.0,0.7041029069513699
53,no_scaling,LinearSVC,2000,71,100,2121,1.0,0.31995676077120455,1.0,0.6793674737976673
54,no_scaling,LinearSVC,2000,383,0,2152,1.0,0.3437633641584461,1.0,0.6879838530607101
55,no_scaling,LinearSVC,2000,383,10,2162,1.0,0.3349663400539946,1.0,0.6838583358554412
56,no_scaling,LinearSVC,2000,383,100,2252,1.0,0.3088787482900424,1.0,0.6673747753711909
57,no_scaling,LinearSVC,2000,790,0,2391,1.0,0.34890569785330156,1.0,0.6839582707271656
58,no_scaling,LinearSVC,2000,790,10,2401,1.0,0.37502346494100686,1.0,0.7205680297945426
59,no_scaling,LinearSVC,2000,790,100,2491,1.0,0.32866389453375083,1.0,0.6756257805283159
60,no_scaling,LinearSVC,4000,10,0,4000,1.0,0.3561424438571477,1.0,0.7041037573992065
61,no_scaling,LinearSVC,4000,10,10,4010,1.0,0.36010211787129354,1.0,0.7082914228015983
62,no_scaling,LinearSVC,4000,10,100,4100,1.0,0.35049335312208746,1.0,0.6919472603815032
63,no_scaling,LinearSVC,4000,71,0,4003,1.0,0.3735832702479727,1.0,0.7165634315700172
64,no_scaling,LinearSVC,4000,71,10,4013,1.0,0.3600302525337449,1.0,0.7003016022016991
65,no_scaling,LinearSVC,4000,71,100,4103,1.0,0.3642841793116502,1.0,0.6961945445775676
66,no_scaling,LinearSVC,4000,383,0,4039,1.0,0.3536438288599628,1.0,0.7083938943901263
67,no_scaling,LinearSVC,4000,383,10,4049,1.0,0.36426341283114433,1.0,0.7043263194607006
68,no_scaling,LinearSVC,4000,383,100,4139,1.0,0.32654064185614495,1.0,0.6834938243862819
69,no_scaling,LinearSVC,4000,790,0,4143,1.0,0.37064568008347054,1.0,0.7164416645792215
70,no_scaling,LinearSVC,4000,790,10,4153,1.0,0.36445461039601185,1.0,0.7002805815259148
71,no_scaling,LinearSVC,4000,790,100,4243,1.0,0.3617423713106393,1.0,0.7043876318366932
72,no_scaling,AdaBoost_10,10,10,0,20,0.19151647483643655,0.18306104164902592,0.9241999251483906,0.9070982766417967
73,no_scaling,AdaBoost_10,10,10,10,30,0.20174779692930067,0.19649727458533936,0.9305710374784543,0.9200675640300323
74,no_scaling,AdaBoost_10,10,10,100,120,0.32368673083281996,0.24440371668273772,0.9743908089768322,0.8635062086365398
75,no_scaling,AdaBoost_10,10,71,0,77,0.2300912447488704,0.19625091048113805,0.9477922272743743,0.8833896061430843
76,no_scaling,AdaBoost_10,10,71,10,87,0.22188650834430276,0.2046070448112717,0.9400260415063652,0.9067752523741964
77,no_scaling,AdaBoost_10,10,71,100,177,0.4195582515466918,0.30668310679288147,0.9887930018387413,0.8713680921717607
78,no_scaling,AdaBoost_10,10,383,0,388,0.6970901598226713,0.3292042382521149,0.9973796566602474,0.7914149792238768
79,no_scaling,AdaBoost_10,10,383,10,398,0.5637072360427906,0.31270068157973174,0.9945879760841194,0.8140751749529235
80,no_scaling,AdaBoost_10,10,383,100,488,0.9881035567922516,0.2683307879218369,0.9999395331962754,0.7017656296460825
81,no_scaling,AdaBoost_10,10,790,0,794,1.0,0.29891563845503516,1.0,0.7228819772179285
82,no_scaling,AdaBoost_10,10,790,10,804,1.0,0.27266368156341675,1.0,0.7178687411701339
83,no_scaling,AdaBoost_10,10,790,100,894,1.0,0.2648139689592,1.0,0.6820224191777431
84,no_scaling,AdaBoost_10,100,10,0,110,0.23466488862208867,0.19509994170591524,0.9440427383043494,0.8763066657098375
85,no_scaling,AdaBoost_10,100,10,10,120,0.23543566319332487,0.20907072834654825,0.9460398962481245,0.901546836904632
86,no_scaling,AdaBoost_10,100,10,100,210,0.38271967647885013,0.27137817056621694,0.9862029083549005,0.8603564543230374
87,no_scaling,AdaBoost_10,100,71,0,164,0.28633078751927055,0.19711982917631635,0.9630019126274575,0.8288427673117701
88,no_scaling,AdaBoost_10,100,71,10,174,0.2598570952846037,0.22021322032059723,0.957756760854029,0.8946318904360152
89,no_scaling,AdaBoost_10,100,71,100,264,0.46124572947914383,0.30732765135359325,0.9911311606670191,0.8446840223181962
90,no_scaling,AdaBoost_10,100,383,0,456,0.6897496825521071,0.30772362687486793,0.9972284768533415,0.7827406747494816
91,no_scaling,AdaBoost_10,100,383,10,466,0.6069266970024807,0.305637740783482,0.9957066820350903,0.7981559249855342
92,no_scaling,AdaBoost_10,100,383,100,556,0.9899986118395714,0.28720266119728827,0.999949610996896,0.7144067042280674
93,no_scaling,AdaBoost_10,100,790,0,851,1.0,0.3089919178512586,1.0,0.7350174608732004
94,no_scaling,AdaBoost_10,100,790,10,861,1.0,0.28670500843191604,1.0,0.7224998493021154
95,no_scaling,AdaBoost_10,100,790,100,951,1.0,0.2703451422750521,1.0,0.686148764890789
96,no_scaling,AdaBoost_10,500,10,0,510,0.7868723299463842,0.2744722287771499,0.9984882726224126,0.7415980342128211
97,no_scaling,AdaBoost_10,500,10,10,520,0.454237418138552,0.30995584630040224,0.9906172239152301,0.8680899265374938
98,no_scaling,AdaBoost_10,500,10,100,610,0.7476486405428142,0.320489917220624,0.9977525852547746,0.7750077499008595
99,no_scaling,AdaBoost_10,500,71,0,552,0.7619900554366142,0.3020584381806475,0.9981758644596234,0.7661301885183752
100,no_scaling,AdaBoost_10,500,71,10,562,0.48984355173499955,0.3143739847349044,0.9922398144125574,0.8528954813982214
101,no_scaling,AdaBoost_10,500,71,100,652,0.8084337633335791,0.3638720413232375,0.9985890481909833,0.7926831323998953
102,no_scaling,AdaBoost_10,500,383,0,826,1.0,0.3210642170523379,1.0,0.7397107683957769
103,no_scaling,AdaBoost_10,500,383,10,836,0.8817891942665018,0.3546697602495252,0.9992340505882652,0.7843296361519673
104,no_scaling,AdaBoost_10,500,383,100,926,1.0,0.3264087498953326,1.0,0.7237890207161343
105,no_scaling,AdaBoost_10,500,790,0,1208,1.0,0.31733051080476254,1.0,0.7275937126304451
106,no_scaling,AdaBoost_10,500,790,10,1218,1.0,0.30692460861778076,1.0,0.7233472593799425
107,no_scaling,AdaBoost_10,500,790,100,1308,1.0,0.2676319532328258,1.0,0.6782193989056928
108,no_scaling,AdaBoost_10,1000,10,0,1009,1.0,0.2601384289629462,1.0,0.7093338274465409
109,no_scaling,AdaBoost_10,1000,10,10,1019,0.7650879823136952,0.3122355215587643,0.9980549284145369,0.762893260105744
110,no_scaling,AdaBoost_10,1000,10,100,1109,1.0,0.316828293927428,1.0,0.7353609467910065
111,no_scaling,AdaBoost_10,1000,71,0,1048,1.0,0.26960346986361633,1.0,0.7097571145748892
112,no_scaling,AdaBoost_10,1000,71,10,1058,0.7750981260379971,0.32478615796653815,0.9982061002991228,0.7712257478668093
113,no_scaling,AdaBoost_10,1000,71,100,1148,0.9938907791164507,0.3012494350133233,0.9999697665981376,0.723105362911631
114,no_scaling,AdaBoost_10,1000,383,0,1282,1.0,0.33212951802141394,1.0,0.7119760218051588
115,no_scaling,AdaBoost_10,1000,383,10,1292,1.0,0.3175870603454445,1.0,0.7273492770075457
116,no_scaling,AdaBoost_10,1000,383,100,1382,1.0,0.30021774939206364,1.0,0.7031589613553807
117,no_scaling,AdaBoost_10,1000,790,0,1651,1.0,0.3542271355051434,1.0,0.7324851573096005
118,no_scaling,AdaBoost_10,1000,790,10,1661,1.0,0.3337316115015125,1.0,0.7279556995717228
119,no_scaling,AdaBoost_10,1000,790,100,1751,1.0,0.3189998714600211,1.0,0.7074045300290654
120,no_scaling,AdaBoost_10,2000,10,0,2003,1.0,0.32405952290617207,1.0,0.7037644579004053
121,no_scaling,AdaBoost_10,2000,10,10,2013,1.0,0.31693686851839775,1.0,0.6994147069913819
122,no_scaling,AdaBoost_10,2000,10,100,2103,1.0,0.32966480458456054,1.0,0.7039257002725536
123,no_scaling,AdaBoost_10,2000,71,0,2025,1.0,0.3225386968401221,1.0,0.6996372666150915
124,no_scaling,AdaBoost_10,2000,71,10,2035,1.0,0.30633963948887505,1.0,0.699234122899063
125,no_scaling,AdaBoost_10,2000,71,100,2125,1.0,0.352049045841717,1.0,0.7202471776879568
126,no_scaling,AdaBoost_10,2000,383,0,2212,1.0,0.37923566510298595,1.0,0.7411619741229555
127,no_scaling,AdaBoost_10,2000,383,10,2222,1.0,0.3762480996937036,1.0,0.7330302260554505
128,no_scaling,AdaBoost_10,2000,383,100,2312,1.0,0.340574275266724,1.0,0.7163451095587843
129,no_scaling,AdaBoost_10,2000,790,0,2563,1.0,0.37049950102442875,1.0,0.7327665096569899
130,no_scaling,AdaBoost_10,2000,790,10,2573,1.0,0.36401119798487996,1.0,0.7369356984137538
131,no_scaling,AdaBoost_10,2000,790,100,2663,1.0,0.31459430358236545,1.0,0.6955528964334362
132,no_scaling,AdaBoost_10,4000,10,0,4000,1.0,0.3720242605186567,1.0,0.712579013324577
133,no_scaling,AdaBoost_10,4000,10,10,4010,1.0,0.3808273026994738,1.0,0.7167658331547009
134,no_scaling,AdaBoost_10,4000,10,100,4100,1.0,0.32891010341489846,1.0,0.6957527832413758
135,no_scaling,AdaBoost_10,4000,71,0,4002,1.0,0.3600263095009206,1.0,0.7039811155827307
136,no_scaling,AdaBoost_10,4000,71,10,4012,1.0,0.3561392710967916,1.0,0.7123984609234549
137,no_scaling,AdaBoost_10,4000,71,100,4102,1.0,0.374781784617988,1.0,0.7248169905084364
138,no_scaling,AdaBoost_10,4000,383,0,4063,1.0,0.34744726725011504,1.0,0.7043288537397198
139,no_scaling,AdaBoost_10,4000,383,10,4073,1.0,0.33935993445350815,1.0,0.6962189353535017
140,no_scaling,AdaBoost_10,4000,383,100,4163,1.0,0.3637319810564388,1.0,0.7126008820104136
141,no_scaling,AdaBoost_10,4000,790,0,4237,1.0,0.3276978687900945,1.0,0.6916054485437423
142,no_scaling,AdaBoost_10,4000,790,10,4247,1.0,0.32689663821289017,1.0,0.7038652578466728
143,no_scaling,AdaBoost_10,4000,790,100,4337,1.0,0.3285024781180453,1.0,0.6878032811573128
144,no_scaling,ExtraTreesClf_10,10,10,0,17,0.18848541326959786,0.18157432650667027,0.8171250583301585,0.8029950842020926
145,no_scaling,ExtraTreesClf_10,10,10,10,27,0.1745394077432635,0.16977608059587324,0.839829559588772,0.8330484326659189
146,no_scaling,ExtraTreesClf_10,10,10,100,117,0.28142674627262815,0.20296116527289,0.9640371327574958,0.8404525751348345
147,no_scaling,ExtraTreesClf_10,10,71,0,72,0.213869137108656,0.17776120225071168,0.93711341757224,0.8662561229848073
148,no_scaling,ExtraTreesClf_10,10,71,10,82,0.2074354147778148,0.18303994979221172,0.9245203335956343,0.8747481156555823
149,no_scaling,ExtraTreesClf_10,10,71,100,172,0.3867950406058704,0.28321821376763817,0.9864649250769487,0.8613424949018521
150,no_scaling,ExtraTreesClf_10,10,383,0,383,0.6222301627011344,0.2929829577910043,0.9960795606580595,0.781650566511194
151,no_scaling,ExtraTreesClf_10,10,383,10,393,0.5350977992686906,0.29189394034430366,0.9939429730774284,0.8049355761275923
152,no_scaling,ExtraTreesClf_10,10,383,100,483,0.9750403968764215,0.3144855870286161,0.9998689873731111,0.73111285358944
153,no_scaling,ExtraTreesClf_10,10,790,0,790,1.0,0.3051096172526817,1.0,0.7230835283547755
154,no_scaling,ExtraTreesClf_10,10,790,10,800,1.0,0.2850795195136257,1.0,0.7145906364804765
155,no_scaling,ExtraTreesClf_10,10,790,100,890,1.0,0.27853760932559424,1.0,0.7022703725627432
156,no_scaling,ExtraTreesClf_10,100,10,0,105,0.2637101163752617,0.20917483417867425,0.9495785458366423,0.8632738937845948
157,no_scaling,ExtraTreesClf_10,100,10,10,115,0.268867734163114,0.2241409432999434,0.9524882959948444,0.8848521485427366
158,no_scaling,ExtraTreesClf_10,100,10,100,205,0.40268932710897337,0.2607487416642866,0.9876541792887203,0.8248124565981328
159,no_scaling,ExtraTreesClf_10,100,71,0,152,0.33582067386394154,0.24152685429178058,0.9720191280734838,0.8557994022751533
160,no_scaling,ExtraTreesClf_10,100,71,10,162,0.30643232371918366,0.24276839913662607,0.9663479398821547,0.8816788734034118
161,no_scaling,ExtraTreesClf_10,100,71,100,252,0.5104108408906395,0.3111443471464023,0.9931871276709119,0.829225868093816
162,no_scaling,ExtraTreesClf_10,100,383,0,440,0.8209871876558738,0.31493280862628165,0.9986192846398921,0.7630545512335799
163,no_scaling,ExtraTreesClf_10,100,383,10,450,0.6570919944877472,0.3206999732526686,0.9968052092272681,0.7949559254863146
164,no_scaling,ExtraTreesClf_10,100,383,100,540,1.0,0.26422253007074686,1.0,0.7054880006975384
165,no_scaling,ExtraTreesClf_10,100,790,0,837,1.0,0.30695555184827183,1.0,0.7271091228772417
166,no_scaling,ExtraTreesClf_10,100,790,10,847,1.0,0.28309722732585857,1.0,0.718312179024155
167,no_scaling,ExtraTreesClf_10,100,790,100,937,1.0,0.27249880270938287,1.0,0.6899500940183035
168,no_scaling,ExtraTreesClf_10,500,10,0,504,0.9592241641591389,0.3204351152973459,0.9997581181592792,0.7550008644763938
