,scaler,fs_model,fs_m,fs_univ_k,pca_n,tot_n_features,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
81,RobustScaler,AdaBoost_10,10,794,0,798,1.0,0.37246709102187164,1.0,0.7528524067887706
82,RobustScaler,AdaBoost_10,10,794,10,808,1.0,0.347698246601027,1.0,0.7443594954121967
83,RobustScaler,AdaBoost_10,10,794,100,898,1.0,0.3632707936575917,1.0,0.7446811443353628
84,RobustScaler,AdaBoost_10,100,9,0,109,0.23843298680996716,0.19649504328380055,0.9468562291782799,0.873389697513621
85,RobustScaler,AdaBoost_10,100,9,10,119,0.24975290458650345,0.20777359122168226,0.9499098789425352,0.8839806215175653
86,RobustScaler,AdaBoost_10,100,9,100,209,0.3508126472727439,0.2337810785956309,0.975527969517381,0.8328805782079595
87,RobustScaler,AdaBoost_10,100,71,0,164,0.3317940017738474,0.1969728186784662,0.9808916484288154,0.7973947795229969
88,RobustScaler,AdaBoost_10,100,71,10,174,0.2953865893246995,0.2020678431310572,0.9664155735366133,0.8228265751847577
89,RobustScaler,AdaBoost_10,100,71,100,264,0.45504466964006607,0.25326813972708867,0.9906978073180049,0.7980301162017515
90,RobustScaler,AdaBoost_10,100,383,0,456,0.7451190492380864,0.2871083173923003,0.9979138093447929,0.7577800672461655
91,RobustScaler,AdaBoost_10,100,383,10,466,0.6380481767632885,0.284674337279714,0.996442386466187,0.7776073238508773
92,RobustScaler,AdaBoost_10,100,383,100,556,0.9578441864640183,0.2837981809273062,0.9997681983975371,0.7306543165032938
93,RobustScaler,AdaBoost_10,100,794,0,856,1.0,0.34580225256511454,1.0,0.7282782062560788
94,RobustScaler,AdaBoost_10,100,794,10,866,0.9864000492224342,0.3430945416977617,0.9999294511297897,0.7443603361088957
95,RobustScaler,AdaBoost_10,100,794,100,956,1.0,0.32542007851102356,1.0,0.735744817044827
96,RobustScaler,AdaBoost_10,500,9,0,509,1.0,0.2250893295717086,1.0,0.6962123909726919
97,RobustScaler,AdaBoost_10,500,9,10,519,0.7983473306847167,0.2844421421977621,0.9984580319076392,0.7578817444558976
98,RobustScaler,AdaBoost_10,500,9,100,609,0.9281411148868731,0.24028931010285728,0.9995968709117097,0.716460305353142
99,RobustScaler,AdaBoost_10,500,71,0,552,1.0,0.2693874865865647,1.0,0.7217741891505934
100,RobustScaler,AdaBoost_10,500,71,10,562,0.882770374577471,0.26510583066616067,0.9992038196240398,0.7255780476815584
101,RobustScaler,AdaBoost_10,500,71,100,652,0.989948978477248,0.24866748639633987,0.9999496085592591,0.7089315512428396
102,RobustScaler,AdaBoost_10,500,383,0,825,1.0,0.29048312419078964,1.0,0.7269092580093616
103,RobustScaler,AdaBoost_10,500,383,10,835,1.0,0.2949162449329175,1.0,0.7310154456833816
104,RobustScaler,AdaBoost_10,500,383,100,925,1.0,0.29692186377577584,1.0,0.7268680768567668
105,RobustScaler,AdaBoost_10,500,794,0,1214,1.0,0.3358435624405584,1.0,0.7281379674952243
106,RobustScaler,AdaBoost_10,500,794,10,1224,1.0,0.3568191474365143,1.0,0.7324642000162097
107,RobustScaler,AdaBoost_10,500,794,100,1314,1.0,0.36642100257651533,1.0,0.7489301391782378
108,RobustScaler,AdaBoost_10,1000,9,0,1008,1.0,0.26612573702923276,1.0,0.7136214399095792
109,RobustScaler,AdaBoost_10,1000,9,10,1018,1.0,0.24274332697397072,1.0,0.6968758444202661
110,RobustScaler,AdaBoost_10,1000,9,100,1108,1.0,0.2601732305722062,1.0,0.6935146366778794
111,RobustScaler,AdaBoost_10,1000,71,0,1047,1.0,0.25083328297882196,1.0,0.6894293843571907
112,RobustScaler,AdaBoost_10,1000,71,10,1057,1.0,0.28000277872759183,1.0,0.7100594339668067
113,RobustScaler,AdaBoost_10,1000,71,100,1147,1.0,0.30074625698459984,1.0,0.7108061026051916
114,RobustScaler,AdaBoost_10,1000,383,0,1281,1.0,0.27571871832845746,1.0,0.6986521447420762
115,RobustScaler,AdaBoost_10,1000,383,10,1291,1.0,0.30927481057112194,1.0,0.7232657938404928
116,RobustScaler,AdaBoost_10,1000,383,100,1381,1.0,0.29839366434395004,1.0,0.7149736002174197
117,RobustScaler,AdaBoost_10,1000,794,0,1657,1.0,0.3210609346154479,1.0,0.7197449812392372
118,RobustScaler,AdaBoost_10,1000,794,10,1667,1.0,0.34752377246607696,1.0,0.7243752389233822
119,RobustScaler,AdaBoost_10,1000,794,100,1757,1.0,0.35918597875917263,1.0,0.7284999008052456
120,RobustScaler,AdaBoost_10,2000,9,0,2002,1.0,0.33427428269497367,1.0,0.7238083014916953
121,RobustScaler,AdaBoost_10,2000,9,10,2012,1.0,0.32029245097214737,1.0,0.7113695919276286
122,RobustScaler,AdaBoost_10,2000,9,100,2102,1.0,0.36234212315883013,1.0,0.7322600390290278
123,RobustScaler,AdaBoost_10,2000,71,0,2024,1.0,0.3375004575090131,1.0,0.7240728488357177
124,RobustScaler,AdaBoost_10,2000,71,10,2034,1.0,0.30596056805671573,1.0,0.703259717421529
125,RobustScaler,AdaBoost_10,2000,71,100,2124,1.0,0.34299546973620004,1.0,0.7319182320668357
126,RobustScaler,AdaBoost_10,2000,383,0,2212,1.0,0.3511852053042957,1.0,0.7403951962012324
127,RobustScaler,AdaBoost_10,2000,383,10,2222,1.0,0.3737947188423752,1.0,0.7527305569133063
128,RobustScaler,AdaBoost_10,2000,383,100,2312,1.0,0.37061209412608226,1.0,0.7406143808492237
129,RobustScaler,AdaBoost_10,2000,794,0,2564,1.0,0.3749193977712417,1.0,0.7406538586683609
130,RobustScaler,AdaBoost_10,2000,794,10,2574,1.0,0.3693950831440997,1.0,0.7289248571380703
131,RobustScaler,AdaBoost_10,2000,794,100,2664,1.0,0.35423363133290886,1.0,0.7283377811696324
132,RobustScaler,AdaBoost_10,4000,9,0,4000,1.0,0.3900406295420889,1.0,0.7451648763273765
133,RobustScaler,AdaBoost_10,4000,9,10,4010,1.0,0.3641313042314711,1.0,0.7244936187495375
134,RobustScaler,AdaBoost_10,4000,9,100,4100,1.0,0.4469714736807559,1.0,0.7621111846946218
135,RobustScaler,AdaBoost_10,4000,71,0,4001,1.0,0.38903128370939816,1.0,0.7410788345034606
136,RobustScaler,AdaBoost_10,4000,71,10,4011,1.0,0.427553904308325,1.0,0.761869332106429
137,RobustScaler,AdaBoost_10,4000,71,100,4101,1.0,0.41467077801760643,1.0,0.7493483260573509
138,RobustScaler,AdaBoost_10,4000,383,0,4063,1.0,0.3878480639439645,1.0,0.7450632576244695
139,RobustScaler,AdaBoost_10,4000,383,10,4073,1.0,0.41015153541272936,1.0,0.7375991689258186
140,RobustScaler,AdaBoost_10,4000,383,100,4163,1.0,0.40385970730890985,1.0,0.7333308713673229
141,RobustScaler,AdaBoost_10,4000,794,0,4239,1.0,0.4061750796389754,1.0,0.7577664974680679
142,RobustScaler,AdaBoost_10,4000,794,10,4249,1.0,0.43921907487168643,1.0,0.7579646858181187
143,RobustScaler,AdaBoost_10,4000,794,100,4339,1.0,0.39070365487259856,1.0,0.7370532448565631
144,RobustScaler,ExtraTreesClf_10,10,9,0,16,0.18770226636972198,0.1808539932901367,0.8168831856305762,0.8027935013740487
145,RobustScaler,ExtraTreesClf_10,10,9,10,26,0.20180705438474625,0.1956256021109217,0.89021968926415,0.879685626414803
146,RobustScaler,ExtraTreesClf_10,10,9,100,116,0.2613474204555367,0.20453673909082937,0.9454330684244633,0.8549404897555147
147,RobustScaler,ExtraTreesClf_10,10,71,0,72,0.20391383051865156,0.1640252951032503,0.9280370281403694,0.849946516889613
148,RobustScaler,ExtraTreesClf_10,10,71,10,82,0.23743900906268167,0.19231464974645993,0.9428965910666012,0.8651590551694097
149,RobustScaler,ExtraTreesClf_10,10,71,100,172,0.3383375221677974,0.23983309672857278,0.9722811265132547,0.8483958364492677
150,RobustScaler,ExtraTreesClf_10,10,383,0,383,0.6426890718520136,0.2944893315626351,0.9965129316799417,0.781527044993469
151,RobustScaler,ExtraTreesClf_10,10,383,10,393,0.6087437363810558,0.3007647916167231,0.9958477852601938,0.7975285061234164
152,RobustScaler,ExtraTreesClf_10,10,383,100,483,0.9043665861441247,0.31932621931403066,0.9994356181794567,0.7635609804192073
153,RobustScaler,ExtraTreesClf_10,10,794,0,794,1.0,0.366864141952276,1.0,0.7488889775279182
154,RobustScaler,ExtraTreesClf_10,10,794,10,804,0.995939533547704,0.3578246826782383,0.9999798431799399,0.7564135184035875
155,RobustScaler,ExtraTreesClf_10,10,794,100,894,1.0,0.3639845557991835,1.0,0.7488083331828923
156,RobustScaler,ExtraTreesClf_10,100,9,0,105,0.26437608964551695,0.20942591066441293,0.9497196405300166,0.8633343703394573
157,RobustScaler,ExtraTreesClf_10,100,9,10,115,0.2689979839654788,0.20601565707963435,0.9543342515835715,0.8519648726648968
158,RobustScaler,ExtraTreesClf_10,100,9,100,205,0.34406622043026003,0.2339653727908946,0.972901438133309,0.8396384191710058
159,RobustScaler,ExtraTreesClf_10,100,71,0,152,0.3513735010607242,0.23974396988174793,0.9756645649899145,0.8368414926920678
160,RobustScaler,ExtraTreesClf_10,100,71,10,162,0.3354274574008647,0.23344296432728237,0.9719989468770541,0.8358538511667395
161,RobustScaler,ExtraTreesClf_10,100,71,100,252,0.4593830880475249,0.2735805408406351,0.9910303710820357,0.8148740236762156
162,RobustScaler,ExtraTreesClf_10,100,383,0,441,0.8382393232731844,0.2948166335377986,0.9989216277996545,0.7463887057613373
163,RobustScaler,ExtraTreesClf_10,100,383,10,451,0.7218025428523512,0.3024679527220034,0.9977424891718765,0.7782287895781388
164,RobustScaler,ExtraTreesClf_10,100,383,100,541,0.9386734075931056,0.29360914867666094,0.9996472617430413,0.7427091655646775
165,RobustScaler,ExtraTreesClf_10,100,794,0,840,1.0,0.3589885738965219,1.0,0.748667256163123
166,RobustScaler,ExtraTreesClf_10,100,794,10,850,0.9901160773491348,0.34449792968568005,0.9999496079498499,0.7404364066072396
167,RobustScaler,ExtraTreesClf_10,100,794,100,940,1.0,0.348467272030651,1.0,0.7444611019261819
