,i,fold,n_remove,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
96,96,2,50,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.47368422,0.29032257,0.3373394,0.43476808
97,97,2,50,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.5263158,0.32258064,0.40824178,0.47412395
98,98,2,50,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.5,0.22580644,0.37813556,0.39565253
99,99,2,50,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.42105263,0.2580645,0.23842546,0.40502718
100,100,2,50,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.6923077,0.29032257,0.44347,0.46619958
101,101,2,50,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.42857143,0.29032257,0.25589895,0.41016173
102,102,2,75,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.4090909,0.29032257,0.35560355,0.42166317
103,103,2,75,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.55,0.3548387,0.38870394,0.48759562
104,104,2,75,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.5,0.32258064,0.34284142,0.4587956
105,105,2,75,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.3448276,0.32258064,0.19068359,0.36200255
106,106,2,75,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.5263158,0.32258064,0.3518425,0.4400972
107,107,2,75,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.5,0.29032257,0.37667465,0.4480481
108,108,2,100,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.4,0.2580645,0.27661738,0.38698617
109,109,2,100,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.5714286,0.38709676,0.3970175,0.5216807
110,110,2,100,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.47826087,0.3548387,0.35764202,0.4829078
111,111,2,100,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.29411766,0.16129032,0.18374652,0.2561888
112,112,2,100,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.5294118,0.29032257,0.38332272,0.44590205
113,113,2,100,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.53846157,0.22580644,0.35592556,0.3933942
114,114,2,125,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5,0.22580644,0.35563377,0.3865522
115,115,2,125,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.5,0.29032257,0.37718257,0.44003892
116,116,2,125,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.5294118,0.29032257,0.38370836,0.44590205
117,117,2,125,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5,0.22580644,0.2511096,0.3679906
118,118,2,125,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.53846157,0.22580644,0.35147777,0.36755955
119,119,2,125,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.6363636,0.22580644,0.38300923,0.41072005
120,120,2,250,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5,0.29032257,0.29642278,0.42584795
121,121,2,250,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.55,0.3548387,0.40750498,0.49859402
122,122,2,250,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.5263158,0.32258064,0.39700294,0.46450895
123,123,2,250,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.3181818,0.22580644,0.1399341,0.33903745
124,124,2,250,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.46666667,0.22580644,0.3471082,0.39050037
125,125,2,250,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.5625,0.29032257,0.35313764,0.43918005
126,126,3,0,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.7222222,0.43333334,0.49773586,0.55447626
127,127,3,0,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.78571427,0.36666667,0.5933285,0.5652258
128,128,3,0,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.6315789,0.4,0.4936951,0.5368734
129,129,3,0,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.6315789,0.4,0.34943923,0.5132
130,130,3,0,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.75,0.2,0.586261,0.413782
131,131,3,0,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.7222222,0.43333334,0.5075816,0.57604545
132,132,3,25,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.71428573,0.5,0.5091245,0.60238826
133,133,3,25,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.6666667,0.33333334,0.5652735,0.46659085
134,134,3,25,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.7058824,0.4,0.5181669,0.5674483
135,135,3,25,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5,0.4,0.26629624,0.45621753
136,136,3,25,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.6666667,0.4,0.57244027,0.5452645
137,137,3,25,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.75,0.4,0.49702552,0.54615116
138,138,3,50,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.6923077,0.3,0.4532374,0.49124956
139,139,3,50,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.7692308,0.33333334,0.59470046,0.5296167
140,140,3,50,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.71428573,0.33333334,0.5467917,0.5177433
141,141,3,50,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5555556,0.33333334,0.32024223,0.4142887
142,142,3,50,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.78571427,0.36666667,0.54224646,0.5652258
143,143,3,50,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.8,0.13333334,0.4730656,0.3446365
144,144,3,75,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.6666667,0.46666667,0.49122673,0.57264733
145,145,3,75,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.78571427,0.36666667,0.5326157,0.554146
146,146,3,75,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.7368421,0.46666667,0.59441596,0.5963552
147,147,3,75,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5,0.36666667,0.33813483,0.43293917
148,148,3,75,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.7777778,0.23333333,0.4792076,0.44720957
149,149,3,75,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.75,0.3,0.45409647,0.4892271
150,150,3,100,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.6875,0.36666667,0.40943187,0.51017
151,151,3,100,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.7647059,0.43333334,0.5702317,0.58654076
152,152,3,100,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.7222222,0.43333334,0.58342415,0.55997556
153,153,3,100,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.47368422,0.3,0.2678473,0.36718526
154,154,3,100,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.6666667,0.13333334,0.37519565,0.3035579
155,155,3,100,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.6923077,0.3,0.4961891,0.4773537
156,156,3,125,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.6875,0.36666667,0.4804427,0.51017
157,157,3,125,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.8235294,0.46666667,0.5091567,0.6339265
158,158,3,125,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.7,0.46666667,0.5659557,0.5820786
159,159,3,125,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.5,0.43333334,0.3633922,0.4624381
160,160,3,125,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.8,0.26666668,0.57007474,0.47668177
161,161,3,125,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.8,0.26666668,0.4375926,0.45537752
162,162,3,250,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.7058824,0.4,0.5221746,0.5330138
163,163,3,250,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.6666667,0.33333334,0.52739424,0.4914496
164,164,3,250,StandardScaler,5,256,0.5,na,na,4096,75,20,0.001,0.71428573,0.33333334,0.55833894,0.5000996
165,165,3,250,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.54545456,0.4,0.34110743,0.4901607
166,166,3,250,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.64285713,0.3,0.501332,0.46713203
167,167,3,250,RobustScaler,5,256,0.5,na,na,4096,75,20,0.001,0.72727275,0.26666668,0.5125366,0.46256363
